
Co./Last Name							Invoice No.	Date				Item Number	Quantity	Description																																		Record ID
University Hospital of North Durham (PA)							F53153556	02/05/2026				SA	60	Satsumas																																		UN5
University Hospital of North Durham (PA)							F53153556	02/05/2026				TCP	6	Tomatoes - Cherry																																		UN5
University Hospital of North Durham (PA)							F53153556	02/05/2026				TB	1	Tomatoes																																		UN5
University Hospital of North Durham (PA)							F53153556	02/05/2026				BB40	1	Bananas																																		UN5

Tung Fong (Blue Hut)							F53161263	02/05/2026				RCL	3	Chips - Raw Chunky																																		TU3

Tung Fong (Blue Hut)							F53152026	02/05/2026				RCL	6	Chips - Raw Chunky																																		TU3
Tung Fong (Blue Hut)							F53152026	02/05/2026				Key	1	Key																																		TU3

m and j cateringltd							F53023277	02/05/2026				PJ	3	Potatoes - Jumbo																																		WH5
m and j cateringltd							F53023277	02/05/2026				CAB	2	Carrots																																		WH5
m and j cateringltd							F53023277	02/05/2026				SWB	2	Swedes																																		WH5
m and j cateringltd							F53023277	02/05/2026				LEB	1	Leeks																																		WH5
m and j cateringltd							F53023277	02/05/2026				HR	1	Herb - Rosemary																																		WH5
m and j cateringltd							F53023277	02/05/2026				MB6	1	Mushrooms - Button (Medium)																																		WH5

The Park Hotel Redcar							F53148682	02/05/2026				B	10	Bananas																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				CGS2	6	Cabbage - Green (Shredded) Vac Pac																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				CS5	4	Carrots - Sliced																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				CFB	5	Cauliflower																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				C	1	Celery																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				GMO	2	Cheese - Mozzarella Grated																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				C17	3	Cheese - Soprano Red Grated																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				RCL	7	Chips - Raw Chunky																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				CLM1	1	Coleslaw - Mix with Red & White Cabbage																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				CU	6	Cucumber																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				LI	6	Lettuce - Iceberg																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				MB6	1	Mushrooms - Button (Medium)																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				ONC	5.08	Onions - Chilli																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				PEC	4	Pea Shoots																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				PG	4	Peppers - Green																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				PR	4	Peppers - Red																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				PC1	13	Potatoes - Clean Cut																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				PRP	1	Potato Red Skin																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				LW	1	Salad - Bryans Leafy Salad																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				SA	10	Satsumas																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				SMF2	1	Soup Mix - Fine Cut																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				SD5	10	Swedes - Diced																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				TBBS	2	Tomatoes - Beef																																		PA
The Park Hotel Redcar							F53148682	02/05/2026				TCP	6	Tomatoes - Cherry																																		PA

The Priory Bistro							F53157803	02/05/2026				CRE	1	Cabbage - Red																																		PR2
The Priory Bistro							F53157803	02/05/2026				RCL	1	Chips - Raw Chunky																																		PR2
The Priory Bistro							F53157803	02/05/2026				MB6	1	Mushrooms - Button (Medium)																																		PR2
The Priory Bistro							F53157803	02/05/2026				ORK	2	Onions - Red																																		PR2
The Priory Bistro							F53157803	02/05/2026				PQ10	1	Potatoes - Cut (Roast)																																		PR2
The Priory Bistro							F53157803	02/05/2026				LW	4	Salad - Bryans Leafy Salad																																		PR2
The Priory Bistro							F53157803	02/05/2026				SO	1	Spring Onions																																		PR2
The Priory Bistro							F53157803	02/05/2026				TK	2	Tomatoes																																		PR2

Al forno							F53162381	02/05/2026				BERB	1	Blackberries																																		AL7
Al forno							F53162381	02/05/2026				BERBL	2	Blueberries																																		AL7
Al forno							F53162381	02/05/2026				CU1	1	Cucumber																																		AL7
Al forno							F53162381	02/05/2026				LI	6	Lettuce - Iceberg																																		AL7
Al forno							F53162381	02/05/2026				MP	1	Peppers - Mixed																																		AL7
Al forno							F53162381	02/05/2026				TC	2	Tomatoes - Cherry (Tray)																																		AL7
Al forno							F53162381	02/05/2026				LIMB	1	Limes																																		AL7
Al forno							F53162381	02/05/2026				LE	25	Lemons																																		AL7
Al forno							F53162381	02/05/2026				RASP	2	Raspberries																																		AL7
Al forno							F53162381	02/05/2026				S5	3	Strawberries																																		AL7
Al forno							F53162381	02/05/2026				HM	1	Herb - Mint																																		AL7
Al forno							F53162381	02/05/2026				HB	1	Herb - Basil																																		AL7
Al forno							F53162381	02/05/2026				PAK	1	Parsley - Curly																																		AL7
Al forno							F53162381	02/05/2026				HR2	3	Micro Herb - Red Amaranth																																		AL7

The Yorkshire Lass New Marske							F53161197	02/05/2026				PJB	2	Potatoes - Washed																																		YO5

Crazy Corner Adventure Play Centre Ltd							F53145578	02/05/2026				RCL	2	Chips - Raw Chunky																																		CR

The Queens Arms Brotton							F53165963	02/05/2026				BRK	1	Broccoli																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				CB5	1	Carrots - Batons																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				C16	2	Cheese - Red Grated																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				CHIRK	0.25	Chillies - Red																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				RCL	2	Chips - Raw Chunky																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				HC	1	Herb - Chives																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				MSS2	1	Milk - Semi Skimmed (Green Top)																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				MB6	1	Mushrooms - Button (Medium)																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				PEC	1	Pea Shoots																																		QU
The Queens Arms Brotton							F53165963	02/05/2026				LW	2	Salad - Bryans Leafy Salad																																		QU

Reunion Bar & Restaurant Loftus							F53159303	02/05/2026				ORB	1	Onions - Red																																		SH2
Reunion Bar & Restaurant Loftus							F53159303	02/05/2026				MSFC	1	Mushrooms - Sliced Fine Cut																																		SH2
Reunion Bar & Restaurant Loftus							F53159303	02/05/2026				RCL	20	Chips - Raw Chunky																																		SH2

Wheatsheaf Inn Hutton Rudby							F53168777	02/05/2026				FEE	1	Service Fee																																		WH1
Wheatsheaf Inn Hutton Rudby							F53168777	02/05/2026				RCL	3	Chips - Raw Chunky																																		WH1
Wheatsheaf Inn Hutton Rudby							F53168777	02/05/2026				PQ10	8	Potatoes - Cut (Roast)																																		WH1
Wheatsheaf Inn Hutton Rudby							F53168777	02/05/2026				LI	6	Lettuce - Iceberg																																		WH1

